Name:Portugieser 7 Days Automatic;Brand:IWC Schaffhausen;Reference Number:IW500705;Diameter (in mm):42.3;Price (in CHF):12800;Dial Color:White;Case Material:Steel;Mechanism:Self-Winding;Complication:Power Reserve Indicator,Date;Strap Material:Leather;Water Resistance (in Bar):3;Glass:Sapphire;Power Reserve (in h):168;Glass Back:Yes;Buckle:Folding Clasp
Name:Portugieser 7 Days Automatic;Brand:IWC Schaffhausen;Reference Number:IW500713;Diameter (in mm):42.3;Price (in CHF):25000;Dial Color:Blue;Case Material:18K Gold;Mechanism:Self-Winding;Complication:Power Reserve Indicator,Date;Strap Material:Leather;Water Resistance (in Bar):3;Glass:Sapphire;Power Reserve (in h):168;Glass Back:Yes;Buckle:Folding Clasp
Name:Portugieser Annual Calender;Brand:IWC Schaffhausen;Reference Number:IW503502;Diameter (in mm):44.2;Price (in CHF):21000;Dial Color:Blue;Case Material:Steel;Mechanism:Self-Winding;Complication:Power Reserve Indicator,Month,Day,Date;Strap Material:Leather;Water Resistance (in Bar):3;Glass:Sapphire;Power Reserve (in h):168;Glass Back:Yes;Buckle:Folding Clasp
Name:Portugieser Yacht Club Chronograph;Brand:IWC Schaffhausen;Reference Number:IW390704;Diameter (in mm):44.6;Price (in CHF):12900;Dial Color:Blue,White;Case Material:Steel;Mechanism:Self-Winding;Complication:Chronograph,Date;Strap Material:Rubber;Water Resistance (in Bar):6;Glass:Sapphire;Power Reserve (in h):68;Glass Back:Yes;Buckle:Pin Buckle
Name:Portugieser Chronograph;Brand:IWC Schaffhausen;Reference Number:IW371609;Diameter (in mm):41.0;Price (in CHF):8500;Dial Color:Black;Case Material:Steel;Mechanism:Self-Winding;Complication:Chronograph;Strap Material:Leather;Water Resistance (in Bar):3;Glass:Sapphire;Power Reserve (in h):46;Glass Back:Yes;Buckle:Folding Clasp
Name:Pilot's Watch Chronograph Spitfire;Brand:IWC Schaffhausen;Reference Number:IW387902;Diameter (in mm):41.0;Price (in CHF):7050.0;Dial Color:Green;Case Material:Bronze;Mechanism:Self-Winding;Complication:Date,Day,Chronograph;Strap Material:Leather;Water Resistance (in Bar):6.0;Glass:Sapphire;Power Reserve (in h):46.0;Glass Back:No;Buckle:Pin Buckle
Name:Big Pilot's Watch;Brand:IWC Schaffhausen;Reference Number:IW501001;Diameter (in mm):46.2;Price (in CHF):13900.0;Dial Color:Black;Case Material:Steel;Mechanism:Self-Winding;Complication:Power Reserve Indicator,Date;Strap Material:Leather;Water Resistance (in Bar):6.0;Glass:Sapphire;Power Reserve (in h):168.0;Glass Back:No;Buckle:Folding Clasp
Name:Pilot's Watch Chronograph Spitfire;Brand:IWC Schaffhausen;Reference Number:IW387901;Diameter (in mm):41.0;Price (in CHF):6450.0;Dial Color:Black;Case Material:Steel;Mechanism:Self-Winding;Complication:Date,Day,Chronograph;Strap Material:Textile;Water Resistance (in Bar):6.0;Glass:Sapphire;Power Reserve (in h):46.0;Glass Back:No;Buckle:Pin Buckle
Name:Pilot's Watch Chronograph 'Le Petit Prince';Brand:IWC Schaffhausen;Reference Number:IW377717;Diameter (in mm):43.0;Price (in CHF):6950.0;Dial Color:Blue;Case Material:Steel;Mechanism:Self-Winding;Complication:Date,Day,Chronograph;Strap Material:Steel;Water Resistance (in Bar):6.0;Glass:Sapphire;Power Reserve (in h):44.0;Glass Back:No;Buckle:Folding Clasp
Name:Pilot's Watch Mark XVIII Heritage ;Brand:IWC Schaffhausen;Reference Number:IW327006;Diameter (in mm):40.0;Price (in CHF):4900.0;Dial Color:Black;Case Material:Titan;Mechanism:Self-Winding;Complication:Date;Strap Material:Leather;Water Resistance (in Bar):6.0;Glass:Sapphire;Power Reserve (in h):42.0;Glass Back:No;Buckle:Pin Buckle
